CODE_COM;APL_EHPA;APL_RA;APL_SAPA
28425;76913.96;591.88;786.2
28426;60419.61;104.76;241.71
29002;96609.22;679.85;1585.21
29007;85723.84;346.23;163.38
29008;100275.53;196.29;660.46
29012;71851.78;346.23;206.31
29013;93509.91;0.0;501.07
29014;99938.41;59.44;221.67
29021;71783.13;25.08;863.96
29025;90472.85;130.19;987.68
29029;142173.06;475.52;844.54
29030;117132.21;0.0;854.92
29032;110165.84;110.76;853.48
29035;146384.87;246.43;971.94
29037;120777.64;307.05;1143.74
29042;78675.75;0.0;68.11
29056;137819.5;258.21;1385.04
29064;108501.02;55.11;1064.66
29065;131064.78;225.04;1191.8
29073;122874.1;377.41;472.48
29074;136648.95;25.08;487.4
29080;113578.56;84.61;201.61
29081;108564.36;346.23;443.57
29083;46312.63;0.0;289.41
29086;98005.59;109.68;193.11
29089;129146.69;475.52;122.81
29094;105174.78;55.11;798.28
29098;71308.24;191.87;778.29
29099;93545.35;43.34;419.34
29103;156763.3;258.21;1329.96
29109;86304.52;43.34;424.57
29111;118189.53;55.11;1064.66
29117;134973.48;228.17;1288.87
29119;126977.54;246.43;977.17
29120;64463.1;0.0;68.11
29125;81358.64;28.74;514.88
29127;107196.17;0.0;294.47
29133;108861.62;377.41;455.77
29135;93275.14;94.85;582.21
29140;172818.0;258.21;1329.96
29141;103624.51;346.23;443.57
29146;94442.68;110.76;687.44
29148;118896.72;0.0;554.7
29150;68422.52;415.0;1149.88
29153;45284.48;82.01;267.79
29155;48861.4;43.34;226.66
29161;101462.6;110.76;689.13
29167;119237.78;225.04;1053.66
29168;57252.16;94.85;289.41
29172;81994.7;101.44;472.25
29176;106838.79;130.19;752.26
29179;141818.14;258.21;1347.56
29180;118116.92;109.68;266.7
29184;117544.09;0.0;554.7
29187;131086.17;55.11;866.75
29191;104875.37;0.0;221.67
29203;91654.77;25.08;919.04
29204;133105.79;258.21;1501.98
29205;128491.39;475.52;122.81
29206;97659.23;25.08;854.92
29208;104655.61;191.87;976.2
29214;84246.42;196.29;979.87
29218;106872.24;196.29;660.46
29222;132321.79;160.22;1109.39
29224;112941.07;225.04;1154.01
29225;109205.89;196.29;1196.58
29232;160151.02;307.05;1156.4
29235;173234.91;258.21;1210.94
29237;119669.78;109.68;583.63
29239;112859.53;0.0;554.7
29244;125603.73;109.68;949.38
29252;87464.02;94.85;620.49
29256;78915.71;101.44;463.75
29257;83974.89;43.34;419.34
29259;137254.03;0.0;871.63
29261;95544.3;0.0;512.9
29262;123098.11;30.04;306.3
29263;99868.93;30.04;492.77
29265;150944.36;0.0;759.66
29267;77719.64;28.74;334.76
29270;89194.1;109.68;193.11
29271;118132.36;25.08;866.75
29272;105011.17;110.76;694.96
29273;90229.18;0.0;464.4
29276;111727.28;0.0;854.92
29277;90122.06;30.04;562.63
29278;104023.75;693.1;863.97
29281;111601.65;110.76;855.91
29289;62076.55;101.44;463.75
29290;136204.02;228.17;1288.87
29292;91273.65;94.85;620.49
2A008;38067.2;0.0;225.25
2A018;50601.07;0.0;0.0
2A019;12500.54;0.0;0.0
2A027;2662.14;0.0;0.0
2A031;7874.27;0.0;0.0
2A056;24008.79;0.0;225.25
2A064;32346.41;0.0;225.25
2A066;24109.63;0.0;0.0
2A070;14680.1;0.0;0.0
2A085;59508.68;0.0;225.25
2A090;19851.23;0.0;0.0
2A092;4777.26;0.0;0.0
2A098;8595.37;0.0;0.0
2A099;1084.47;0.0;0.0
2A100;10844.29;0.0;0.0
2A115;40284.23;0.0;0.0
2A117;11182.83;0.0;225.25
2A129;39857.72;0.0;0.0
2A130;36261.23;0.0;225.25
2A139;10103.26;0.0;599.87
2A158;30780.89;0.0;0.0
2A198;1102.93;0.0;0.0
2A204;0.0;0.0;0.0
2A209;48537.33;0.0;0.0
2A211;22997.59;0.0;0.0
2A215;85404.34;0.0;0.0
2A232;19114.7;0.0;0.0
2A247;38660.63;0.0;599.87
2A249;96255.19;0.0;0.0
2A266;2070.06;0.0;0.0
2A271;75722.25;0.0;2833.18
2A324;63457.97;0.0;0.0
2A330;42005.29;0.0;0.0
2A345;44809.37;0.0;0.0
2A357;14706.8;0.0;0.0
2A358;10288.6;0.0;0.0
2A362;5812.39;0.0;0.0
2B002;21649.59;0.0;0.0
2B010;58668.37;0.0;530.89
2B012;43247.07;0.0;4655.72
2B013;16359.04;0.0;0.0
2B023;4323.55;0.0;0.0
2B025;35349.61;0.0;530.89
2B046;34665.29;0.0;0.0
2B047;7151.06;0.0;0.0
2B049;13606.17;0.0;0.0
2B052;5689.94;0.0;25118.82
2B067;3569.65;0.0;4508.69
2B072;20555.65;0.0;25374.62
2B075;10534.75;0.0;0.0
2B077;61265.91;0.0;346.31
2B080;11515.88;0.0;0.0
2B086;5186.22;0.0;0.0
2B096;131794.55;0.0;4655.72
2B107;3590.79;0.0;0.0
2B110;62924.11;0.0;4655.72
2B121;6001.65;0.0;0.0
2B122;6559.81;0.0;4508.69
2B125;8700.66;0.0;25118.82
2B134;62015.52;0.0;530.89
2B135;27042.43;0.0;0.0
2B137;5980.46;0.0;0.0
2B140;3502.62;0.0;627.51
2B148;60030.92;0.0;20956.44
2B150;47494.1;0.0;530.89
2B155;1750.83;0.0;0.0
2B162;21604.74;0.0;0.0
2B166;11814.89;0.0;0.0
2B168;52846.66;0.0;530.89
2B169;8784.96;0.0;4508.69
2B172;21150.22;0.0;627.51
2B175;16605.36;0.0;530.89
2B176;6200.2;0.0;25118.82
2B178;15002.71;0.0;0.0
2B180;12986.89;0.0;0.0
2B182;34384.79;0.0;530.89
2B183;9012.79;0.0;0.0
2B194;15595.65;0.0;1171.73
2B195;10212.33;0.0;25118.82
2B199;40703.51;0.0;530.89
2B202;2527.69;0.0;0.0
2B206;10747.18;0.0;25118.82
2B207;43533.55;0.0;255.8
2B210;23517.4;0.0;255.8
2B214;9841.82;0.0;25374.62
2B217;5357.32;0.0;4508.69
2B220;25408.39;0.0;0.0
2B224;22234.98;0.0;454.54
2B233;26566.41;0.0;0.0
2B243;3999.68;0.0;25118.82
2B255;6828.28;0.0;25118.82
2B261;11248.73;0.0;0.0
2B263;30711.58;0.0;0.0
2B277;66072.08;0.0;0.0
2B286;51371.78;0.0;255.8
2B292;17289.05;0.0;0.0
2B293;27423.59;0.0;1171.73
2B303;11731.73;0.0;1171.73
2B304;4676.07;0.0;0.0
2B316;48032.36;0.0;530.89
2B318;48857.58;0.0;255.8
2B327;12632.21;0.0;0.0
2B328;4992.66;0.0;0.0
2B329;68085.52;0.0;4655.72
2B337;35212.11;0.0;20610.13
2B339;2103.88;0.0;0.0
2B340;12763.37;0.0;4764.49
2B343;47206.94;0.0;255.8
2B346;57961.69;0.0;20956.44
2B354;162545.53;0.0;0.0
2B355;30515.01;0.0;21493.45
30004;71925.83;357.49;2972.27
30005;63983.03;266.53;327.44
30006;72213.63;357.49;2978.74
30009;62583.25;0.0;1929.54
30010;91775.44;291.72;1052.11
30013;61276.0;443.66;387.18
30022;94175.92;0.0;11.09
30024;93350.16;0.0;569.63
30025;20672.64;0.0;569.63
30027;113017.87;318.26;453.31
30031;42033.02;392.98;334.1
30035;40385.75;527.43;288.66
30036;92438.71;473.66;2951.81
30037;121182.63;92.18;102.4
30042;90180.91;318.26;453.31
30043;52800.07;357.49;2695.99
30046;72164.92;507.76;2718.1
30052;39497.1;0.0;569.63
30053;65634.1;507.76;2668.28
30056;39150.41;392.98;159.53
30057;63830.25;400.67;2717.61
30059;54371.33;357.49;2942.06
30060;108749.2;473.66;2789.61
30065;78232.68;216.16;445.71
30068;79811.42;216.16;207.63
30074;80958.76;0.0;1359.91
30079;88781.07;92.18;102.4
30093;95949.22;55.16;316.13
30100;56172.89;323.19;194.66
30103;56485.34;658.0;505.18
30108;37901.37;745.75;323.72
30109;61222.23;268.02;194.66
30111;56564.68;488.48;289.12
30112;54557.82;266.28;2681.93
30116;79972.53;930.3;3296.66
30123;94163.04;538.78;3859.86
30125;71916.03;300.75;2732.34
30129;85697.9;291.72;1052.11
30130;134336.8;92.18;11.09
30133;27611.17;0.0;201.82
30134;41278.64;0.0;70.18
30136;56325.42;206.44;2782.2
30137;19284.16;0.0;5.75
30139;100177.78;0.0;0.0
30143;56196.4;266.53;327.44
30148;66451.43;55.16;356.98
30150;63521.27;55.16;316.58
30151;40765.09;191.96;36.85
30152;96532.0;226.63;231.99
30153;109218.84;0.0;11.09
30154;66010.41;0.0;569.63
30158;62445.25;323.19;194.66
30160;87165.85;400.73;2681.25
30161;96683.91;216.16;207.63
30162;77180.94;318.26;503.13
30163;55198.07;400.73;2574.79
30164;43137.89;84.93;0.0
30166;72359.01;629.18;2712.26
30171;89966.95;92.18;102.4
30174;48920.87;438.97;159.53
30175;70175.92;84.93;181.95
30179;83434.95;682.24;2719.08
30180;56921.96;507.76;2611.64
30184;76905.77;507.76;2731.97
30185;75237.6;357.49;3028.56
30187;71347.15;226.63;129.58
30190;64493.14;0.0;0.0
30194;58230.33;92.18;0.0
30195;58541.04;745.75;922.53
30196;53669.66;412.42;404.28
30198;49773.35;745.75;323.72
30199;76518.96;0.0;569.63
30203;104810.66;226.63;231.53
30206;57438.56;427.22;2729.18
30210;86004.57;55.16;357.43
30212;93038.82;930.3;3419.34
30217;69589.18;714.94;3246.14
30222;60886.84;285.95;181.95
30224;80147.8;507.76;2848.36
30226;107803.84;351.46;721.42
30234;72983.08;400.73;2681.25
30235;85532.46;755.1;3255.08
30236;73976.69;157.27;590.49
30237;135517.62;372.47;231.53
30245;62659.21;211.12;2694.86
30246;53238.79;102.11;922.53
30250;52976.52;323.19;194.66
30253;108611.63;226.63;231.99
30254;81866.38;446.75;799.59
30255;65731.32;507.76;2781.8
30260;69047.86;659.34;3342.72
30265;81428.53;157.27;640.31
30267;78605.73;216.16;207.63
30269;66582.58;800.91;922.98
30270;90642.03;308.34;129.58
30271;85279.47;226.63;231.99
30272;127481.47;0.0;569.63
30279;61148.35;392.98;404.28
30284;105841.94;308.34;231.99
30285;49634.14;323.19;194.66
30288;102299.76;351.46;660.91
30290;69461.21;266.53;404.38
30293;34365.77;0.0;0.0
30294;105284.9;308.34;129.58
30299;53288.62;354.04;267.21
30301;41290.81;327.49;250.55
30305;91823.23;281.79;231.99
30306;59948.84;21.86;309.94
30310;46009.94;745.75;922.53
30312;63492.26;648.35;1013.63
30313;73478.37;507.76;2781.8
30314;57060.86;216.16;140.66
30318;82702.06;226.63;129.58
30320;59893.57;527.43;166.43
30321;69460.63;206.44;2867.0
30327;72564.6;226.63;231.53
30328;62697.34;789.28;608.44
30339;93469.96;643.64;0.0
30342;70393.46;351.46;327.44
30344;77060.22;357.49;2979.09
30346;58917.93;417.12;387.18
30349;70062.32;266.28;2860.9
30352;69353.23;232.98;2808.29
30353;31628.72;0.0;725.9
30355;64209.47;211.4;464.41
31001;51808.97;0.0;1073.06
31006;52661.0;668.62;711.77
31008;81221.71;0.0;1131.28
31010;122254.8;0.0;18.9
