CODGEO;LIBGEO;MED15;TP6015
01348;Saint-Didier-sur-Chalaronne;21044;9
01349;Saint-Éloi;25538;
01350;Saint-Étienne-du-Bois;21882;
01351;Saint-Étienne-sur-Chalaronne;21137;
01352;Saint-Étienne-sur-Reyssouze;19804;
01353;Sainte-Euphémie;24995;
01354;Saint-Genis-Pouilly;28996;17
01355;Saint-Genis-sur-Menthon;21680;
01356;Saint-Georges-sur-Renon;23161;
01357;Saint-Germain-de-Joux;18920;
01358;Saint-Germain-les-Paroisses;20991;
01359;Saint-Germain-sur-Renon;23408;
01360;Saint-Jean-de-Gonville;37382;
01361;Saint-Jean-de-Niost;25744;
01362;Saint-Jean-de-Thurigneux;25204;
01363;Saint-Jean-le-Vieux;21899;
01364;Saint-Jean-sur-Reyssouze;20863;
01365;Saint-Jean-sur-Veyle;21119;
01366;Sainte-Julie;22917;
01367;Saint-Julien-sur-Reyssouze;20099;
01368;Saint-Julien-sur-Veyle;21323;
01369;Saint-Just;24093;
01370;Saint-Laurent-sur-Saône;18446;
01371;Saint-Marcel;21994;
01372;Saint-Martin-de-Bavel;22241;
01373;Saint-Martin-du-Frêne;21609;
01374;Saint-Martin-du-Mont;22882;
01375;Saint-Martin-le-Châtel;21627;
01376;Saint-Maurice-de-Beynost;21129;11
01378;Saint-Maurice-de-Gourdans;25038;
01379;Saint-Maurice-de-Rémens;20301;
01380;Saint-Nizier-le-Bouchoux;20246;
01381;Saint-Nizier-le-Désert;21483;
01382;Sainte-Olive;25384;
01383;Saint-Paul-de-Varax;20854;
01384;Saint-Rambert-en-Bugey;18106;20
01385;Saint-Rémy;23822;
01386;Saint-Sorlin-en-Bugey;24089;
01387;Saint-Sulpice;20845;
01388;Saint-Trivier-de-Courtes;19143;
01389;Saint-Trivier-sur-Moignans;21260;
01390;Saint-Vulbas;22036;
01391;Salavre;22016;
01392;Samognat;23174;
01393;Sandrans;21795;
01396;Sault-Brénaz;18738;
01397;Sauverny;37788;
01398;Savigneux;23342;
01399;Ségny;37645;
01400;Seillonnaz;20995;
01401;Sergy;41321;
01402;Sermoyer;19425;
01403;Serrières-de-Briord;20575;
01404;Serrières-sur-Ain;24437;
01405;Servas;20475;
01406;Servignat;19351;
01407;Seyssel;21450;
01408;Simandre-sur-Suran;21206;
01409;Songieu;;
01410;Sonthonnax-la-Montagne;23384;
01411;Souclin;20501;
01412;Sulignat;21802;
01413;Surjoux;;
01414;Sutrieu;21858;
01415;Talissieu;20597;
01416;Tenay;17703;
01417;Thézillieu;19902;
01418;Thil;27890;
01419;Thoiry;34371;14
01420;Thoissey;17878;
01421;Torcieu;21374;
01422;Tossiat;23812;
01423;Toussieux;24805;
01424;Tramoyes;27225;
01425;La Tranclière;22151;
01426;Val-Revermont;21332;8
01427;Trévoux;21035;13
01428;Valeins;23389;
01429;Vandeins;21256;
01430;Varambon;22386;
01431;Vaux-en-Bugey;21607;
01432;Verjon;21890;
01433;Vernoux;18826;
01434;Versailleux;22741;
01435;Versonnex;34232;
01436;Vesancy;36254;
01437;Vescours;17668;
01439;Vésines;21603;
