"LIB_MOD";"CODGEO";"C08_POP15P";"P08_ACT1564";"P08_CHOM1564";"C08_POP15P_CS1";"C08_POP15P_CS2";"C08_POP15P_CS3";"C08_POP15P_CS4";"C08_POP15P_CS5";"C08_POP15P_CS6";"C08_POP15P_CS7";"C08_POP15P_CS8";"C13_POP15P";"P13_ACT1564";"P13_CHOM1564";"C13_POP15P_CS1";"C13_POP15P_CS2";"C13_POP15P_CS3";"C13_POP15P_CS4";"C13_POP15P_CS5";"C13_POP15P_CS6";"C13_POP15P_CS7";"C13_POP15P_CS8";"C18_POP15P";"P18_ACT1564";"P18_CHOM1564";"C18_POP15P_CS1";"C18_POP15P_CS2";"C18_POP15P_CS3";"C18_POP15P_CS4";"C18_POP15P_CS5";"C18_POP15P_CS6";"C18_POP15P_CS7";"C18_POP15P_CS8";"Cadres_2008_%";"Cadres_2013_%";"Cadres_2018_%";"Aturats_2008_%";"Aturats_2013_%";"Aturats_2018_%";"Cad_13_18_%";"At_13_18_%";"CHOM_08_%";"CHOM_13_%";"CHOM_18_%";"CHOM_13_18_%"
"Courbevoie";92026;69428.2359025866;48182.5152479031;4384.06124653779;14.7224083350692;1830.09642444538;20081.1849512481;13087.2979670401;10097.4589837316;3323.11044573002;11072.2289475805;9922.13577447586;69088.9573156934;46496.7251843202;4122.72298637985;3.77645049586004;2026.53950191962;21024.2101162765;11482.1747698564;9552.42619148435;2573.84108740717;12240.531626047;10185.4575722065;67655.1542355848;44842.2605694564;3956.01621589992;20.8683553738827;2104.0632072465;21160.151586925;10799.7417208467;8651.51476911519;2376.1156942705;12031.9365725442;10510.7623292628;29;30;31;14;15;16;3;7;9;9;9;0
"Fontenay-aux-Roses";92032;19665.7287713216;12308.6063933755;1065.453826626;2.83900270917265;390.292595514055;4040.1762916519;3461.90033763778;3181.82754929132;1208.21802548697;4234.21193033792;3146.26303869249;18260.8105804005;11127.7256180365;1043.30416941158;0;332.660847343349;3868.74263847279;3089.57353166185;2811.40144811175;1010.98416000745;4166.29912808695;2981.14882671633;20096.4523910999;12245.5717187893;1410.44004171464;3.34155993339277;517.251422139999;4317.69115654326;3111.61878666031;3202.71465223653;1092.67610939736;4335.05551080849;3516.10319338059;21;21;21;16;16;17;0;6;9;9;12;33
"Garches";92033;14266.0175289123;8686.16529223323;706.307358216821;12.5246949355331;565.599195183519;3856.21029374755;2156.80007642168;1710.86499504517;467.910697907045;3055.42529904771;2440.68227662408;14055.7517893561;8357.35374852676;687.783805433995;0;443.473949679011;3767.59333332059;1970.19344370156;1716.84151059781;583.030746006881;3223.65609035717;2350.96271569307;14531.3471480332;8551.43520428341;792.004966102557;10.4797420576634;627.619485904071;3858.53711316464;2069.61337890537;1581.178557153;554.005141835369;3397.09972030183;2432.81400871127;27;27;27;17;17;17;0;0;8;8;9;12
"La Garenne-Colombes";92035;21597.6195987968;14746.5688483536;1156.94284748691;13.4156921214558;634.674694826929;5501.83818425723;4007.04083362758;3314.85544258835;1325.7940488805;4127.52334533316;2672.47735716158;22820.9678053247;15856.5033719509;1353.85730078659;0;753.120662831844;6300.02061370212;4234.14414893235;3339.20502261435;1281.06360700597;3908.00880620311;3005.404944035;23852.3358606;16185.783763504;1310.05197405292;3.31870116495277;816.969035392732;7169.8712421442;4173.3745180176;3024.6222720731;1112.8309256207;4342.77784337756;3208.57132280911;25;28;30;12;13;13;8;0;8;9;8;-11
"Gennevilliers";92036;32878.6817908059;19434.2523198347;3191.19034184074;1.12729207128828;746.944978414603;1712.27785445369;4467.31254694697;7316.86152068331;4952.94746392004;6431.07406139407;7250.1360729219;33963.3591478081;20141.9453654606;4142.68686244824;0;800.472849794462;2099.23495779516;4670.08684374356;7555.86425559505;4621.63890996124;6793.92086094436;7422.14046997424;36901.1072394765;22290.404055398;4343.88910382562;16.2027812006075;984.157539614366;2756.41170760496;5304.39405160391;8042.36325377354;4728.55367639616;6710.55400631318;8358.47022296975;5;6;7;22;22;23;20;5;16;21;19;-10
"Issy-les-Moulineaux";92040;51606.4163880691;35829.9316861429;2651.10247573663;7.04261331485156;1388.58769540889;14919.2661676401;9301.96461286353;7741.40853938;2528.01642662157;8605.52622551311;7114.60410732706;53686.4024161167;36875.1274459362;3065.82565556687;0;1318.45577324938;16470.3200593796;9532.03897310198;7400.21575243158;2265.28393039039;9278.32479689556;7421.7631306682;55845.6561345272;37972.3333725722;3144.93310851601;0;1567.99773321946;18869.8489991331;9045.50332679456;6921.95848854556;1858.75439357254;9733.38489256309;7848.20830069888;29;31;34;14;14;14;10;0;7;8;8;0
"Levallois-Perret";92044;51628.8655347891;35118.6322200671;2996.07835463646;16.1564502757234;1737.27735596786;15739.7566687286;8594.74326679752;6845.02020632597;2325.58843087393;8871.62227969896;7498.70087612056;52837.7365619929;35548.529311647;3507.56914007314;9.02875982942128;2128.51774764518;16150.6283305407;8883.9954510681;6658.78666888314;1977.54146414727;9708.96195308204;7320.27618679703;53638.8463267886;36241.6530375445;3319.35457089161;8.58305709249379;2197.64824420831;17404.2919796318;8854.50377145654;6289.66220351242;1851.85555550464;9653.82147964371;7378.48003573866;30;31;32;15;14;14;3;0;9;10;9;-10
"Malakoff";92046;25228.9276844076;16779.5389021185;1778.69815394025;4.10496631046478;604.958006862729;4046.93741630251;4669.30418255195;5259.89052709403;2142.2542267326;4686.42938461505;3815.04897393828;25024.1592789553;16610.6907673097;1935.34934553571;0;674.023791759437;4605.63563287437;4491.18411737887;4926.90474924952;1870.55257440465;4900.49647849606;3555.36193479239;25361.5981398817;16239.9274414592;2017.45071778905;0;659.583233340588;5238.09131761486;4269.81364020178;4448.33996997725;1673.39307247423;4549.10685914374;4523.27004712922;16;18;21;15;14;18;19;27;11;12;12;0
"Marnes-la-Coquette";92047;1309.7713062773;706.952258958032;45.9059908414307;0;73.449585346289;355.00632917373;102.013312980957;122.415975577148;53.0469227500976;285.63727634668;318.201904102401;1289.77255902285;710.852602272208;60.2031639988891;0;71.6704333320109;315.349906660848;119.450722220018;157.379712377075;62.1143755544095;277.125675550442;286.681733328044;1387.69970845481;835.777842565599;79.5741496598641;0;77.5072886297376;361.700680272109;186.01749271137;132.512147716229;51.5043731778425;258.357628765792;320.10009718173;27;24;26;24;22;23;7;4;6;8;10;25
"Meudon";92048;36148.3305372913;21702.3247912726;1868.26145173233;18.583516554017;925.43356402966;7592.76587515919;5650.62062657984;5246.40588446383;2367.92755059706;8683.3311201127;5663.26239979503;36266.3740837486;22449.0166376188;1932.62232109565;4.33002899294876;987.712864499989;8825.4281289921;5733.1428873083;4984.42627754045;2085.38410339516;8467.45227400096;5178.49751901865;37093.5436272911;22408.1044590873;2205.89392808312;1.06950545470105;1170.91132669235;9045.32491788656;5551.76539851552;5043.63006720928;1988.33224545889;8300.42778088023;5992.08238519353;21;24;24;16;14;16;0;12;9;9;10;11
"Montrouge";92049;38974.4562002492;26662.2746555283;2353.18006738251;5.53515230433601;987.517223620498;9965.11329720824;7292.82255619291;6447.82969650081;1922.47746869107;7031.66880080414;5321.49200492715;40959.5680536961;28329.1829673355;2732.80188669388;3.33443412715075;1129.85231950068;11871.1238074719;7344.47259081292;6027.0286315191;1987.27406586764;7518.82148218418;5077.66072221257;41089.8022514754;27095.6958479374;2575.80549510837;5.5407277069174;1065.63487362583;12038.1635733731;6814.79462203146;5453.28972957359;1803.19681347564;7873.47118893152;6035.71072275738;26;29;29;14;12;15;0;21;9;10;10;0
"Nanterre";92050;70425.2066528989;44540.6983557801;5906.6139767651;6.53426632376909;1494.94776838789;8583.56643544852;10578.0886707923;15907.1278426361;7416.42772818299;11436.6660092735;15001.8479318538;72441.3110991659;46211.7322832734;7219.08725239854;1.02441042363697;1572.54799406649;9298.9643425038;11016.370912604;16382.8165729846;7346.89867921834;11438.0529833637;15384.6352040013;76609.5714934422;49071.8324527673;7344.16427790173;13.3086108135407;1986.53071213985;12688.816663359;11002.3702941929;15842.9827964625;7003.29900852017;11626.9567832567;16445.3066246976;12;13;17;21;21;21;33;0;13;16;15;-6
"Neuilly-sur-Seine";92051;50099.5465139598;27286.3669908794;2166.75510976492;77.5552290875056;2918.24241388947;14376.0018438806;4985.65233689853;4735.94424827346;1036.84161603464;11559.612476262;10409.6963496336;51638.1012941747;28215.9738449043;2418.59978956342;42.0441061229695;3066.01768048067;15295.6940333679;5322.62876897308;4792.06934342312;952.320997066272;11688.2456013795;10479.0807633613;49945.5178402251;27662.4305786189;2597.01938880443;31.3885998606781;3235.51169845387;15387.7930475925;5058.32227002743;4327.32890346164;966.357145878551;11444.9204050461;9493.89576990431;29;30;31;21;20;19;3;-5;8;9;9;0
"Le Plessis-Robinson";92060;19875.7270379644;13438.4260675466;906.835000603035;1.05228696615497;446.573586447525;4378.72177673147;3618.59321188701;3622.17356136346;1403.3970185199;3739.14083506958;2666.07476097928;22306.1743916765;15329.5121436774;1216.38123730171;4.32667370023274;507.676212024987;5530.75680267054;4424.61288369438;3577.3109259362;1313.92188893064;4335.86620466239;2611.70280005715;23532.6945030544;15467.9260746027;1197.93892129836;0;561.126535990764;5869.83494879298;4312.0596390733;3549.46070218089;1224.58209716274;4952.44133515862;3063.18924469514;22;25;25;13;12;13;0;8;7;8;8;0
"Puteaux";92062;36208.7038336493;25101.9847102243;2455.12037799653;10.3695233845921;887.476066627931;9035.42778860315;6479.60177388503;6084.79407488618;2640.87262949979;5805.10758218508;5265.05439457757;35495.0419013087;24858.6512623873;2531.41533070833;0;1143.02603057805;10789.9832238978;5855.45924345096;5225.13344877045;1918.63262698078;5810.85724663133;4751.95008099934;36802.6070871637;25431.730495553;2541.29049502632;0.99999705107483;1258.17958816446;11562.1739828955;5935.99083330148;5143.68310192792;1733.61848773257;5826.31042487394;5341.65067121675;25;30;31;15;13;15;4;13;10;10;10;0
