"LIB_MOD";"CODGEO";"P08_SAL15P";"P08_HSAL15P_CDI";"P08_HSAL15P_CDD";"P08_FSAL15P_CDI";"P08_FSAL15P_CDD";"P13_SAL15P";"P13_HSAL15P_CDI";"P13_HSAL15P_CDD";"P13_FSAL15P_CDI";"P13_FSAL15P_CDD";"P18_SAL15P";"P18_HSAL15P_CDI";"P18_HSAL15P_CDD";"P18_FSAL15P_CDI";"P18_FSAL15P_CDD";"CDI_08_%";"CDD_08_%";"CDI_13_%";"CDD_13_%";"CDI_18_%";"CDD_18_%";"CDI_13_18_%";"CDD_13_18_%"
"Nanterre";92050;36411.7769175952;15804.6269381652;1478.86806355847;15431.9056151059;1976.4453442012;35922.0517264653;15555.7494724654;1366.44658912941;15191.3578780991;2010.43834088139;38707.1354831069;16871.9118145792;1288.69304526106;16155.720238537;2005.78244618536;86;9;86;9;85;9;-1;0
"Neuilly-sur-Seine";92051;19347.4392697068;8007.58375550152;547.639062351869;9244.06714119765;831.153816674338;19526.815145801;7972.36910865605;534.624086410756;9401.39090042899;898.517402536746;19326.3509493586;7872.70214984329;505.697611510073;9561.13388639508;716.293221827911;89;7;89;7;90;6;1;-14
"Le Plessis-Robinson";92060;11818.4645013232;5325.20734475955;319.794731358288;5355.33450237845;446.073309676069;13092.6974209441;5893.44829813742;305.961376509646;5978.66650369242;489.579945991621;13208.8264710824;6110.34527697751;246.898249434495;6063.38975013539;423.150184194038;90;6;91;6;92;5;1;-17
"Puteaux";92062;20998.944768657;9448.28114720943;808.498952320607;8904.23852892971;995.425218706154;20225.2162735535;8981.2283451721;696.773918854753;8902.89229097194;983.924232679237;20825.963375436;9263.37511134613;589.745060861749;9240.0207024564;928.401562652028;87;9;88;8;89;7;1;-12
"Rueil-Malmaison";92063;34383.4892962247;15409.366450788;851.767553061566;15624.0496533026;1214.76775003986;33631.1088270336;14768.1350418835;809.560745535126;15639.363974982;1311.82671443975;32122.2785784751;13892.9645765252;752.513085127595;15168.0755402236;1100.61522913768;90;6;90;6;90;6;0;0
"Saint-Cloud";92064;11440.1888876104;5118.11829253774;305.045824024449;5157.52775151216;529.690798506018;11145.6995288656;4770.41322911942;344.994904227302;5120.76064406494;580.704199641127;11616.2034003235;5149.65534706322;284.787774339182;5269.12096150425;524.512531177272;90;7;89;8;90;7;1;-12
"Sceaux";92071;7331.44246103788;3322.84283341357;214.080148826294;3260.05731002253;318.296738124982;7216.0939998279;3097.40887922542;294.334403129746;3175.88908342618;402.699243328117;6993.22115448351;3094.21084120349;218.504305816198;3129.70069756444;251.416257981315;90;7;87;10;89;7;2;-30
"Sèvres";92072;9798.90137932452;4171.06423785078;280.905715043149;4566.72626026957;476.929851983576;9163.6425147737;3910.48138261333;263.25087227246;4278.7756654212;418.445765710146;9200.69952165042;3929.51895771291;252.656662591822;4267.91529051445;424.619063515669;89;8;89;7;89;7;0;0
"Suresnes";92073;20294.7593160294;8819.84507149339;693.115675279054;9157.64252207818;1000.45816718204;20990.4955947605;9043.39070088767;553.426170970162;9856.42120115542;828.761852042407;21846.7456015998;9491.94356497627;638.209125533428;10106.9476343463;860.280302609777;89;8;90;7;90;7;0;0
"Vanves";92075;11915.3190507547;4972.99326022349;416.792281676221;5494.55436022345;537.539169292886;12280.7889533769;5254.91997942653;482.195825539228;5406.03549778297;705.943671806587;11814.5976941411;4898.97203547064;477.893446516084;5259.01068166257;615.924477337872;88;8;87;10;86;9;-1;-10
"Vaucresson";92076;3074.97376719785;1395.02236408996;80.9390930223469;1394.7326878166;132.495629224915;3030.94247990432;1359.13229997328;90.20251234007;1356.2723424677;133.135297286538;3001.33942176831;1311.2453248904;85.8651559653638;1384.74655204624;131.740960526175;91;7;90;7;90;7;0;0
"Ville-d'Avray";92077;3959.86790518635;1784.93182369874;111.254562124962;1789.74565071881;135.471282254776;4079.26484200674;1862.15625630264;106.698672331078;1751.25607189009;173.897465465693;4341.71212491329;1848.49867647379;129.089288478174;2007.32046592739;208.535893312348;90;6;89;7;89;8;0;14
"Villeneuve-la-Garenne";92078;9690.48774494599;4103.17622192429;349.904095619759;4311.58765817656;478.932691539655;9170.01192912116;3775.1930757157;334.186414670675;3980.91281961316;537.917743872925;8246.35484462599;3417.63907642229;352.448251518895;3583.03591311273;463.912815033962;87;9;85;10;85;10;0;0
