"LIB_MOD";"CODGEO";"P08_SAL15P";"P08_HSAL15P_CDI";"P08_HSAL15P_CDD";"P08_FSAL15P_CDI";"P08_FSAL15P_CDD";"P13_SAL15P";"P13_HSAL15P_CDI";"P13_HSAL15P_CDD";"P13_FSAL15P_CDI";"P13_FSAL15P_CDD";"P18_SAL15P";"P18_HSAL15P_CDI";"P18_HSAL15P_CDD";"P18_FSAL15P_CDI";"P18_FSAL15P_CDD";"CDI_08_%";"CDD_08_%";"CDI_13_%";"CDD_13_%";"CDI_18_%";"CDD_18_%";"CDI_13_18_%";"CDD_13_18_%"
"Paris 11e Arrondissement";75111;70223.636370145;28708.2079714969;4055.34984549886;29477.7386370092;5173.89480483494;69994.6586856203;27652.1959739293;4090.84561173401;29454.1178704123;5130.26484322374;65991.682417083;27070.2069235172;3216.28728999781;27857.0266967336;4540.00707687585;83;13;82;13;83;12;1;-8
"Paris 12e Arrondissement";75112;65945.9268141247;27169.050350031;3032.49938878035;29475.6200411786;3802.44803087575;65142.5040625509;26824.8600366603;2812.52285748126;28484.534683181;4276.00592131644;61384.7789550212;25111.9075723303;2548.72580056231;27136.8924642934;3605.82365341515;86;10;85;11;85;10;0;-9
"Paris 13e Arrondissement";75113;78634.9386881174;32148.0074255204;4385.68217773781;33266.7136390536;5296.44647705279;76630.6758196343;30508.9747572876;4203.00009172709;33140.0779570616;5106.89441165666;75340.7125009756;30544.4005094622;3768.03643728533;32248.481420534;4928.87949869418;83;12;83;12;83;12;0;0
"Paris 14e Arrondissement";75114;58433.9398471502;22642.3189716747;3241.72370376122;25759.3927412163;4115.52667206577;57818.0899601528;22131.940667159;3151.18620424498;25094.1563283913;4172.24634372563;55962.4461819095;21593.4028237436;3115.25218638965;24240.2345944206;3784.1376930115;83;13;82;13;82;12;0;-8
"Paris 15e Arrondissement";75115;104301.581097683;42879.4912914352;4522.34734251771;46749.6655990188;6115.39399978215;103597.76790481;42151.2126367025;4062.25451531909;46414.1385348322;5968.59406960667;99122.0191013244;40412.1203444329;3511.13008836618;44726.5117097466;5595.69039357491;86;10;85;10;86;9;1;-10
"Paris 16e Arrondissement";75116;54380.7562961381;22716.4226784656;1972.72702008093;24598.3245944597;2883.2412358937;53928.4279053287;21903.0776317014;1893.45275733673;24731.1873997405;2752.85132605118;55635.879763726;22366.0836399869;1837.02898456969;26029.5576677217;2600.47052281486;87;9;86;9;87;8;1;-11
"Paris 17e Arrondissement";75117;70040.348908607;28544.6127567872;2933.67097949598;31493.1562433896;3959.83879014559;70586.6020238235;28339.8807533319;2808.93534340064;32066.626179836;3875.47763962476;70430.7601656487;28525.8938095437;2402.07619019057;32110.4422331694;3601.14614827217;86;10;86;9;86;9;0;0
"Paris 18e Arrondissement";75118;85894.2196175261;34765.3698173534;5769.20036514514;34961.2784150628;6403.17100270245;85608.5427354439;34697.6389077582;5719.65036477858;34678.121735622;6502.58315260114;85223.9056910089;35392.2054868856;4851.48128652636;35015.2755891897;5859.19897643994;81;14;81;14;83;13;2;-7
"Paris 19e Arrondissement";75119;73180.2920008712;29963.8886230561;4387.27490860537;30577.2716224678;4851.02601821763;71318.555364761;28372.1341079996;4210.43561988225;30333.109920087;5009.23711508371;72519.1177954382;29150.4905180257;4158.34083475163;30311.1312697602;5371.17902362072;83;13;82;13;82;13;0;0
"Paris 20e Arrondissement";75120;83632.3922807014;33091.3145341209;5100.2951326311;35916.5383061309;5867.81615663683;80890.2573669733;32061.4730189822;4582.00501706515;34459.6072095957;6195.22773534198;80500.6191629206;31756.1685049602;4528.52272671421;34582.1947964728;5719.85572510172;83;13;82;13;82;13;0;0
