"LIB_MOD";"INSEE_COM";"P08_LOG";"C08_MEN";"P08_RP";"P08_RSECOCC";"P08_LOGVAC";"P08_RP_PROP";"P08_RP_LOC";"P08_ANEM_RP_PROP";"P08_ANEM_RP_LOC";"P08_RP_VOIT1P";"P13_LOG";"C13_MEN";"P13_RP";"P13_RSECOCC";"P13_LOGVAC";"P13_RP_PROP";"P13_RP_LOC";"P13_ANEM_RP_PROP";"P13_ANEM_RP_LOC";"P13_RP_VOIT1P";"P18_LOG";"C18_MEN";"P18_RP";"P18_RSECOCC";"P18_LOGVAC";"P18_RP_PROP";"P18_RP_LOC";"P18_ANEM_RP_PROP";"P18_ANEM_RP_LOC";"P18_RP_VOIT1P";"Prixm2";"Nb_Ventes";"PrixMoyen_M2";"PrixMoyen_M2_1819";"loyer_apparts";"loyer_maisons";"RP_13_%";"RSE_13_%";"VAC_13_%";"RP_18_%";"RSE_18_%";"VAC_18_%";"RP_PROP_13_%";"RP_LOC_13_%";"RP_PROP_18_%";"RP_LOC_18_%";"PROP_13_18_%";"LOC_13_18_%";"VOIT_13_%";"VOIT_18_%";"VOIT_13_18_%";"PRIX17_19_%"
"L'Île-Saint-Denis";93039;2915.60627397486;2730.01318439137;2732.99999996718;5.89052496798976;176.715749039693;619.87947972677;2060.09053713747;9997.42121519065;25563.2559042755;1678.08772297118;2973.38079999998;2806.7972988024;2802.99999999998;10.0224;160.3584;673.18417856258;2099.70476467515;12150.9015893652;29070.363637441;1566.87739244228;3296.87296318656;3142.83707619531;3142.00000000008;15.3847314423657;139.488231744116;756.359039285334;2339.50409377737;12505.5696615002;31467.1272916682;1774.13106107111;2967;63;3315;3396.42056074766;18.23078861;13.15327599;94;0;5;95;0;4;24;75;24;74;0;-1;56;56;0;14
"Les Lilas";93045;11291.3460325807;10352.3591590873;10353.324558147;202.005357338366;736.016117095363;4215.3258948373;5921.04913866039;61966.5368748782;69990.4011421254;5844.94450343042;11472.6772020855;10549.8783285371;10549.8783285371;238.864851105888;683.934022442521;3804.98869717738;6498.4872081167;60210.2978722893;78645.7688505248;5430.97623450994;11772.7179313545;10752.2217391822;10755.6958528043;191.172710456595;825.849368093661;4214.31153452919;6303.59465181219;65097.5458242275;75878.1909994764;5502.55389245816;5612;213;6515;6305.26944971537;22.43347052;15.42492708;92;2;6;91;2;7;36;62;39;59;8;-5;51;51;0;12
"Livry-Gargan";93046;18204.3053958351;17387.5881920187;17392.5881360748;114.438929074228;697.278330686075;10981.2551493382;5982.01505353832;186292.012807243;48344.730574421;14124.9238126317;18719.1557724757;17722.8279264352;17724.8279440121;130.648028441801;863.679800021821;10352.2237732657;7010.83485290797;189281.797514847;55398.8631551289;14173.8493436038;19486.6090499857;18225.0356596963;18224.0356537124;187.67143181978;1074.9019644535;10443.1309194742;7319.15239062896;188503.026136611;60270.0621903968;14656.9885692538;2968;655;3237;3175.91141260974;15.9975985;14.1565229;95;1;5;94;1;6;58;40;57;40;-2;0;80;80;0;7
"Montfermeil";93047;8818.40632603224;8258.51683077907;8255.51686481918;81.2126559162747;481.676805296781;5430.78495638721;2661.99524436351;104949.147554054;27648.5168034326;6642.0911972082;9446.13846696028;8985.74587792065;8985.74587792065;67.6904115898795;392.70217744975;5583.41295532328;3172.75148710369;104827.426238801;27455.5988526184;7335.09804268253;9609.86081594708;9160.15366294383;9163.7954061875;60.8644257847765;385.200983974806;5716.53748193559;3333.51261585428;111042.06964083;28673.4232266987;7626.07047145833;3009;239;3191;3177.47791164659;15.64892318;13.16222412;95;1;4;95;1;4;62;35;62;36;0;3;82;83;1;6
"Montreuil";93048;45140.9043548829;42292.7940355241;42293.7940332626;440.670633921926;2406.43968769837;14596.5238798171;26467.2361481193;253481.361535982;297052.084219302;23354.4973974215;47016.3554885366;43898.535033457;43896.5350400411;528.254856415004;2591.56559208053;16034.1004841248;26768.895115396;273846.218928702;308190.448398274;23364.370507523;51451.5611736194;47800.37004311;47799.3700418302;902.124569175931;2750.06656261332;16963.8339893653;29700.9849488833;278484.769780745;345886.750385226;23878.2817764067;4774;1209;5827;5699.86585365854;20.22161004;17.94184986;93;1;6;93;2;5;37;61;35;62;-5;2;53;50;-6;19
"Neuilly-Plaisance";93049;8775.90575142657;8270.59550583912;8271.59549444501;79.6428409560377;424.66741602552;5148.15034216294;2911.51083161864;90643.876332103;26435.7557978051;6301.28292097017;9146.69247808453;8459.1115076091;8459.1115076091;197.736193438534;489.844777036896;5251.41340544298;3073.30613287298;91718.8974245492;28810.2329082071;6473.93125275511;9918.83864837706;9024.66045242603;9024.66045242603;313.334224417484;580.843971533551;5339.26809859828;3506.23041807567;95616.4610185636;28357.6028457738;6380.24874752475;3730;290;4208;4107.15463917526;18.00820801;12.45277976;92;2;5;91;3;6;62;36;59;39;-5;8;77;71;-8;10
"Neuilly-sur-Marne";93050;13499.5173311357;13027.3311025617;13027.3311025617;93.6258471322499;378.560381441776;5530.59608877182;7273.05346901395;92930.905445404;73009.3106590446;9446.00259880833;14071.3634322016;13320.3187239477;13322.3187034458;29.2054040464972;719.839324709318;6045.64478350486;7035.45066013554;97884.5207320905;81463.4052271074;9614.05285672264;14896.5367462659;14197.4291233179;14203.1387632377;60.2481561770863;633.149826851091;6178.80429749741;7899.52197262443;104702.558192018;85256.358018707;10336.6733479148;2975;331;3191;3136.38699690402;16.0580039;12.35672737;95;0;5;95;0;4;45;53;44;56;-2;6;72;73;1;5
"Noisy-le-Grand";93051;26423.3643817162;24859.4098391258;24863.4098173078;178.548593149991;1381.40597125835;13301.0439197931;11017.3049828847;194125.377536744;91219.6374926626;18633.7015373554;26724.0133432963;25055.5528601363;25056.5528606689;233.569234379452;1433.89124824799;13435.417094348;11071.2245750304;227613.768246933;102459.208480943;18600.9717086915;30061.3582240466;28029.7428176941;28032.1436019307;339.732414523216;1689.48220759272;13609.0628269591;13890.0341563799;231937.579187325;132526.33036997;20605.7188145859;3552;802;3866;3846.28360049322;17.1794036;12.62478148;94;1;5;93;1;6;54;44;49;50;-9;14;74;74;0;8
"Noisy-le-Sec";93053;16113.1885219003;15078.1135242702;15079.9328417488;128.407100523655;904.848579627848;5188.4593665449;9579.3000742657;98017.6585915689;110814.368246094;9595.09580990851;16851.8661587754;15961.2027788694;15960.2027872553;65.0890797400286;826.574291780043;5252.05364276632;10473.7500371902;94830.3159032537;124215.706438341;9314.81449005978;17977.9058134377;16756.9423026595;16756.9423026595;149.894078474572;1071.06943230366;5763.19804947885;10767.1099997092;100745.127781924;123316.228907698;10090.3681792238;3313;285;3718;3698.28571428571;16.92933411;12.51345157;95;0;5;93;1;6;33;66;34;64;3;-3;58;60;3;12
"Pantin";93055;24233.6736996807;22510.4265450687;22522.4866367533;288.425760277061;1422.76130265036;6362.88021417712;15618.7479148155;95666.7122692827;170044.132357183;10742.2051199494;25222.5048681253;23091.5150504361;23088.5150498036;562.201490321684;1571.78832799999;6921.1716656378;15557.2459215555;103781.276227129;173421.363016241;10826.2239604433;27112.3597188518;25350.6846093017;25354.6845871708;625.882735275041;1131.79239640595;7778.43262725351;16940.3819521326;113490.771975186;178880.239081706;10921.0744995384;4646;483;5507;5253.96090356212;19.56523895;15.42492708;92;2;6;94;2;4;30;67;31;67;3;0;47;43;-9;13
