"LIB_MOD";"CODGEO";"MED15";"MED18";"TP6015";"TP6018";"TP60TOL118";"TP60TOL218";"SNHM19";"SNHMC19";"SNHMP19";"SNHME19";"SNHMO19";"MED15_18_%";"TP6015_18_%"
"Rungis";94065;28288;28860;5;5;NA;11;20.4227904941422;29.9216466768548;17.0818713083192;13.3362633968902;12.7181199531236;2;0
"Saint-Mandé";94067;31559;34180;9;8;5;13;26.1893311358761;34.1964199311438;17.9636204188433;13.6618242164277;12.5474870048589;8;-11
"Saint-Maur-des-Fossés";94068;28787;30570;8;8;5;18;23.316939014844;32.9742414355364;17.8893538541437;13.0511888972231;12.3740918385333;6;0
"Saint-Maurice";94069;25791;27240;11;10;5;15;21.1971123969647;29.5126144299423;17.8462660310666;12.8174517722688;12.3432073651916;6;-9
"Santeny";94070;29538;29220;NA;5;NA;NA;21.3088601594989;33.5723722448625;17.8694622710717;13.0082391348379;12.9879348520412;-1;NA
"Sucy-en-Brie";94071;25402;26390;10;10;5;23;19.276797061123;29.4995831959801;17.0838563300258;12.4114068612672;12.7767887403185;4;0
"Thiais";94073;22177;23330;15;15;5;27;16.8923942126561;26.3967756550797;16.6260998078601;12.2580124844707;12.1036468861248;5;0
"Valenton";94074;16101;16770;29;28;11;35;12.9453481791413;20.5389245164375;14.6831664832421;11.1664078981537;11.6651121980497;4;-3
"Villecresnes";94075;25735;26070;6;7;5;16;18.1501710961438;26.7070893704551;17.6009641077509;12.7727673673551;13.6047137062256;1;17
"Villejuif";94076;19447;20220;21;22;8;29;15.8373575321547;23.864249801084;16.0041023472444;11.4446320393729;11.6259993041229;4;5
"Villeneuve-le-Roi";94077;20263;21210;17;17;7;32;14.7538505820124;23.1852124505565;16.0164947670913;11.8419286940605;12.4481809405995;5;0
"Villeneuve-Saint-Georges";94078;15368;16080;34;33;18;42;12.4317505789761;20.641565764795;14.6274543327485;10.7223291681991;11.3114403813399;5;-3
"Villiers-sur-Marne";94079;21014;22350;18;17;5;31;16.8016085289263;25.54839013989;16.1224419306158;11.8273258073255;12.0732079916065;6;-6
"Vincennes";94080;30798;33270;10;8;5;14;25.0767947689171;31.7778915346887;17.8943562252435;13.5338706030584;12.1796607323159;8;-20
"Vitry-sur-Seine";94081;17861;18710;24;24;10;32;14.2909994762773;23.3772297995438;15.4371369242216;11.2387954762225;11.4511325919661;5;0
