"LIB_MOD";"CODGEO";"ENCTOT20";"ENCTOT19";"ENCTOT18";"ETCGI19";"ETCGI18";"ETCGI20";"ETCTOT18";"ETCTOT19";"ETCTOT20";"ETCLZ18";"ETCLZ19";"ETCLZ20";"ETCGI18_%";"ETCGI19_%";"ETCGI20_%";"ETCLZ18_%";"ETCLZ19_%";"ETCLZ20_%";"Total_18_20_%";"ETCGI18_20_%";"ETCTOT18_20_%";"ETCLZ18_20_%"
"Chennevières-sur-Marne";94019;328;292;217;114;92;153;225;320;347;2;14;17;41;36;44;1;4;5;51;66;54;750
"Chevilly-Larue";94021;299;274;262;153;124;174;286;299;329;6;10;1;43;51;53;2;3;0;14;40;15;-83
"Choisy-le-Roi";94022;846;762;742;335;329;415;765;803;902;12;10;18;43;42;46;2;1;2;14;26;18;50
"Créteil";94028;1790;1754;1400;845;672;904;1490;1876;1909;19;24;36;45;45;47;1;1;2;28;35;28;89
"Fontenay-sous-Bois";94033;914;943;830;319;357;334;897;1025;977;19;28;25;40;31;34;2;3;3;10;-6;9;32
"Fresnes";94034;478;367;289;174;131;248;311;399;509;4;7;6;42;44;49;1;2;1;65;89;64;50
"Gentilly";94037;327;372;300;129;131;145;317;397;353;6;10;8;41;32;41;2;3;2;9;11;11;33
"L'Haÿ-les-Roses";94038;483;479;383;203;162;256;397;496;512;7;6;12;41;41;50;2;1;2;26;58;29;71
"Ivry-sur-Seine";94041;1478;1363;1204;605;546;803;1285;1484;1601;14;22;15;42;41;50;1;1;1;23;47;25;7
"Joinville-le-Pont";94042;392;369;343;104;126;197;357;401;433;11;21;16;35;26;45;3;5;4;14;56;21;45
"Le Kremlin-Bicêtre";94043;484;541;479;206;181;224;505;574;522;3;7;11;36;36;43;1;1;2;1;24;3;267
"Limeil-Brévannes";94044;458;409;341;199;161;254;358;435;475;2;9;15;45;46;53;1;2;3;34;58;33;650
"Maisons-Alfort";94046;970;967;812;299;278;326;852;1032;1038;14;26;25;33;29;31;2;3;2;19;17;22;79
"Mandres-les-Roses";94047;51;37;48;12;12;17;50;37;57;0;3;3;24;32;30;0;8;5;6;42;14;Inf
"Marolles-en-Brie";94048;72;47;47;16;9;23;51;48;77;2;0;1;18;33;30;4;0;1;53;156;51;-50
"Nogent-sur-Marne";94052;586;647;543;154;137;175;572;697;641;17;27;31;24;22;27;3;4;5;8;28;12;82
"Noiseau";94053;62;58;46;21;14;24;47;59;64;2;1;2;30;36;38;4;2;3;35;71;36;0
"Orly";94054;387;422;341;231;196;212;370;470;434;6;3;6;53;49;49;2;1;1;13;8;17;0
"Ormesson-sur-Marne";94055;139;121;96;39;28;53;102;126;147;3;7;4;27;31;36;3;6;3;45;89;44;33
"Périgny";94056;29;31;33;9;8;12;33;34;33;1;3;3;24;26;36;3;9;9;-12;50;0;200
"Le Perreux-sur-Marne";94058;580;616;583;187;183;174;608;649;619;24;22;32;30;29;28;4;3;5;-1;-5;2;33
"Le Plessis-Trévise";94059;265;242;207;72;76;100;220;257;282;9;10;9;35;28;35;4;4;3;28;32;28;0
"La Queue-en-Brie";94060;123;145;115;71;47;52;119;151;128;3;2;4;39;47;41;3;1;3;7;11;8;33
"Rungis";94065;92;107;97;66;70;48;141;147;125;2;3;2;50;45;38;1;2;2;-5;-31;-11;0
"Saint-Mandé";94067;830;756;503;187;112;260;528;801;891;26;43;41;21;23;29;5;5;5;65;132;69;58
"Saint-Maur-des-Fossés";94068;1419;1467;1303;376;384;384;1377;1557;1539;62;71;75;28;24;25;5;5;5;9;0;12;21
"Saint-Maurice";94069;305;302;271;90;88;101;280;317;313;10;17;8;31;28;32;4;5;3;13;15;12;-20
"Santeny";94070;64;54;60;19;24;26;63;63;67;6;3;6;38;30;39;10;5;9;7;8;6;0
"Sucy-en-Brie";94071;361;379;314;150;103;132;327;409;389;6;10;16;31;37;34;2;2;4;15;28;19;167
"Thiais";94073;506;486;390;207;185;240;423;528;548;13;1;15;44;39;44;3;0;3;30;30;30;15
"Valenton";94074;328;245;208;127;120;207;225;251;346;3;4;2;53;51;60;1;2;1;58;72;54;-33
"Villecresnes";94075;140;147;108;42;46;61;117;156;152;0;3;5;39;27;40;0;2;3;30;33;30;Inf
"Villejuif";94076;1067;965;910;373;393;468;971;1009;1131;10;9;18;40;37;41;1;1;2;17;19;16;80
"Villeneuve-le-Roi";94077;359;303;249;143;120;173;267;319;380;5;10;10;45;45;46;2;3;3;44;44;42;100
"Villeneuve-Saint-Georges";94078;695;625;501;338;278;401;523;659;744;7;3;9;53;51;54;1;0;1;39;44;42;29
"Villiers-sur-Marne";94079;539;477;407;209;181;266;431;517;572;7;8;13;42;40;47;2;2;2;32;47;33;86
"Vincennes";94080;1074;1029;985;204;230;241;1043;1126;1151;32;39;36;22;18;21;3;3;3;9;5;10;12
"Vitry-sur-Seine";94081;1914;1636;1421;838;704;1116;1498;1764;2012;15;29;27;47;48;55;1;2;1;35;59;34;80
