"LIB_MOD";"CODGEO";"P18_POP15P";"P08_NSCOL15P";"P08_NSCOL15P_DIPL0";"P08_NSCOL15P_BAC";"P08_NSCOL15P_BACP2";"P08_NSCOL15P_SUP";"P13_NSCOL15P";"P13_NSCOL15P_DIPLMIN";"P13_NSCOL15P_BAC";"P13_NSCOL15P_SUP";"P18_NSCOL15P";"P18_NSCOL15P_DIPLMIN";"P18_NSCOL15P_BAC";"P18_NSCOL15P_SUP2";"P18_NSCOL15P_SUP34";"P18_NSCOL15P_SUP5";"SUP_08_%";"SUP_13_%";"SUP_18_%";"SUP_08_18_%";"SUP_13_18_%"
"Le Kremlin-Bicêtre";94043;20461.3923573319;17731.1719614186;2625.28387265087;3195.58408849349;2604.52085489121;4152.56263707859;17560.1815868464;4519.08709543916;3354.22111594815;7188.58233427159;16875.8578264991;2775.79259197962;2727.03157804455;1821.22261372337;2228.96945217491;3996.48397144832;29;41;48;66;17
"Limeil-Brévannes";94044;20759.2630611055;13058.037458453;2122.04915340547;2190.76065582361;2896.94727928609;1285.25316882903;15594.4770871913;4977.46640047671;3112.71091207708;4477.96866241634;18377.4373314023;3198.58519816802;3712.42443351909;2569.6814367674;2286.57795245163;1887.85863121812;44;29;37;-16;28
"Maisons-Alfort";94046;46633.3323498332;38475.960933562;5307.37318992457;7199.5292912037;5608.13819337946;7592.97944240591;39334.5765092885;10076.6608740926;7184.92311577928;15609.0049406865;40099.4617159247;5757.18127643694;6994.42343657735;5087.09180976499;5452.7849935155;8397.7736651826;29;40;47;62;18
"Mandres-les-Roses";94047;3866.33999112295;3073.47134563712;446.74462822274;561.244410547261;510.66084494933;501.443839665136;3167.18866428855;823.473063598677;567.607978061296;1058.74142108815;3408.37106080781;530.244489950548;676.864436767936;441.067801853421;433.570952036516;375.961362527977;33;33;37;12;12
"Marolles-en-Brie";94048;3921;3311;238;701;647;725;3304;595;699;1442;3366;296;665;572;461;557;39;44;47;21;7
"Nogent-sur-Marne";94052;26827.5468576494;22319.7682855089;2158.1837090832;3975.05363115804;3162.00419764586;7631.79618487891;22670.9543956058;4330.78740594782;3668.16710278602;11991.9168657146;23608.5193291977;2170.19959535542;3598.72757226841;2930.98578547118;3846.95647713584;7395.27509267432;28;53;60;114;13
"Noiseau";94053;3775;3082;304;688;497;436;3317;799;719;1067;3322;483;677;482;358;364;32;32;36;12;12
"Orly";94054;17986.3484186159;14320.7745697033;4226.91214353441;2166.05362073957;1226.70507562616;1033.99236348457;14997.4023359016;6529.6530546454;2487.95966478731;2902.93580410807;15747.2468343036;4491.62753037924;2989.17090374665;1622.08300080857;1256.53173710353;1267.50115091174;17;19;26;53;37
"Ormesson-sur-Marne";94055;8598.70095859623;7146.90664025032;1420.29735050395;1187.02298850575;921.688438133874;1056.32220387754;7294.84080758824;2344.62820600493;1166.3092329879;2361.210356041;7637.87063582615;2008.62873675647;1201.66085725903;933.606464314965;774.123428973345;811.641640484465;26;32;33;27;3
"Périgny";94056;2126.84752775516;1550.83725590625;141.974811661925;283.262706243011;263.834499688176;257.143206279585;1722.83244049041;383.122041492048;350.898170644836;601.003707856977;1825.06729552751;196.009019255313;377.736847935494;301.149765911785;243.890506231841;179.751149084431;34;35;40;18;14
