"LIB_MOD";"CODGEO";"P13_ACTOCC15P";"P13_ACTOCC15P_COMMUN";"P13_ACTOCC15P_MARCHE";"P13_ACTOCC15P_VOITURE";"P18_ACTOCC15P";"P18_ACTOCC15P_COMMUN";"P18_ACTOCC15P_MARCHE";"P18_ACTOCC15P_VOITURE";"ETCOQ18";"ETCOQ19";"ETCOQ20";"ETCBE18";"ETCBE19";"ETCBE20";"ETCFZ18";"ETCFZ19";"ETCFZ20";"COMMUN_13_%";"MARCHE_13_%";"VOITURE_13_%";"COMMUN_18_%";"MARCHE_18_%";"VOITURE_18_%";"COMMUN_13_18_%";"MARCHE_13_18_%";"VOITURE_13_18_%";"ETCOQ18_20_%";"ETCBE18_20_%";"ETCFZ18_20_%"
"Vanves";92075;13764.5016715593;7143.21819291472;1426.45460701927;3402.50465215302;13214.0356009938;6837.63133943701;1600.32302670264;2923.66143152311;58;48;63;10;10;15;22;16;13;52;10;25;52;12;22;0;20;-12;9;50;-41
"Vaucresson";92076;3762.86299894292;968.221733037177;221.443798659348;2147.32796069286;3737.83194328094;1010.50604381515;200.857242739544;2105.61643456369;19;21;21;0;3;3;4;7;4;26;6;57;27;5;56;4;-17;-2;11;Inf;0
"Ville-d'Avray";92077;5022.57179386113;1628.19592876318;321.642572635964;2441.98482464547;5097.01934430528;1776.79398324071;358.6752274908;2258.6909498835;19;22;15;7;6;6;4;7;5;32;6;49;35;7;44;9;17;-10;-21;-14;25
"Villeneuve-la-Garenne";92078;9762.18848218181;4346.54325053057;1150.90924383761;3530.14441778818;8890.07941705549;4261.53821348612;934.761329517343;3159.06748380763;29;24;26;4;3;9;15;36;36;45;12;36;48;11;36;7;-8;0;-10;125;140
"Aubervilliers";93001;28760.2531227877;17138.7242516651;2539.36097445845;6964.72797851092;33109.5529818928;21008.4449790726;2308.27679107363;7472.09752015341;85;90;96;52;73;57;197;250;240;60;9;24;63;7;23;5;-22;-4;13;10;22
"Aulnay-sous-Bois";93005;30540.8525906179;13035.8595015362;1738.95026015858;14138.8183022371;32096.0882743677;13803.5408940254;1464.77864886996;15342.6464437194;68;79;82;16;32;36;152;196;211;43;6;46;43;5;48;0;-17;4;21;125;39
"Bagnolet";93006;15050.9652011015;8188.2010478633;1467.36187062694;3991.77905386061;15176.6274059768;8930.61062756949;1338.96004017839;3249.4932948612;43;75;58;17;37;22;75;72;66;54;10;27;59;9;21;9;-10;-22;35;29;-12
"Le Blanc-Mesnil";93007;19650.9492813782;8475.17702792234;949.962772901887;9276.06439036225;20779.6788566068;9628.94724768698;768.658700072994;9612.01445400664;31;56;33;13;16;19;135;147;145;43;5;47;46;4;46;7;-20;-2;6;46;7
"Bobigny";93008;17900.4048986881;10337.5573721559;1164.9997507474;5562.86058170433;18403.9089741839;10586.1880696702;1006.77071492468;6039.29445264186;59;65;48;24;30;32;124;128;138;58;7;31;58;5;33;0;-29;6;-19;33;11
"Bondy";93010;20132.8128821996;10091.8198747777;1374.1446746167;7637.96524785571;19788.6926780058;10265.1909909546;1150.37775625767;7368.06370739319;46;61;44;12;23;16;125;142;124;50;7;38;52;6;37;4;-14;-3;-4;33;-1
