"LIB_MOD";"CODGEO";"P08_POP";"P13_POP";"P18_POP";"P08_POP05P";"P08_POP05P_IRAN1";"P08_POP05P_IRAN4";"P13_POP01P";"P13_POP01P_IRAN1";"P13_POP01P_IRAN3";"P13_POP01P_IRAN4";"P18_POP01P";"P18_POP01P_IRAN1";"P18_POP01P_IRAN3";"P18_POP01P_IRAN4";"P13_POP01P_IRAN1_%";"P18_POP01P_IRAN1_%";"P13_POP01P_IRAN3_%";"P18_POP01P_IRAN3_%";"P13_POP01P_IRAN4_%";"P18_POP01P_IRAN4_%";"P08_P013_%";"P13_P018_%";"P08_P018_%";"IRAN1_13_18_%";"IRAN3_13_18_%";"IRAN4_13_18_%"
"Aubervilliers";93001;74528;77452;87572;68132.3317132727;44188.6824374565;6435.38268733117;76013.5360231949;67513.5501117304;1614.50818684662;2438.14689497593;86025.4233364524;76906.1816276635;1564.46384923401;2718.244892649;89;89;2;2;3;3;4;13;18;0;0;0
"Aulnay-sous-Bois";93005;82188;82634;86278;75439.9139759549;53637.9388519783;3912.96564614591;81370.7431756469;74560.0904431594;2135.73465229451;1121.06628917863;84844.2729039003;78006.1971631632;2167.68365830488;1115.64350605549;92;92;3;3;1;1;1;4;5;0;0;0
"Bagnolet";93006;33960;35984;35442;31093.98176511;20616.8642081996;3759.43793333936;35419.4660463724;32474.7501898576;639.98304425075;1081.12200065946;34928.672018572;31924.5804014044;579.735341909856;1148.52184512351;92;91;2;2;3;3;6;-2;4;-1;0;0
"Le Blanc-Mesnil";93007;50668;52797;57150;46503.4040082024;33388.2035866081;2634.69605316172;51880.6368477686;47601.3450419812;1577.28552210803;658.123587338919;56149.1411391241;52074.3385151799;1407.10669484472;752.818771234802;92;93;3;3;1;1;4;8;13;1;0;0
"Bobigny";93008;47726;49802;54272;43447.4778555367;30921.5043386682;2798.07072042948;48851.9032640211;44085.5323905768;1201.95581767419;824.802257194844;53332.7190744723;49607.8858105685;1207.81215806721;769.491490113257;90;93;2;2;2;1;4;9;14;3;0;-50
"Bondy";93010;53259;52865;54055;48685.970941724;33468.2443760651;3053.99301508698;51918.4276911087;47823.4261377641;1362.3017346333;675.329096619159;53140.8033439464;49536.2768382655;1303.88599865478;714.706316025345;92;93;3;2;1;1;-1;2;1;1;-33;0
"Le Bourget";93013;13610;15708;16139;12377.5525814453;7421.89512728577;1076.06168430425;15298.6349336938;13399.5543731834;741.660211483031;359.541716387521;15827.1521140549;14089.073422101;720.200531454604;289.261002803526;88;89;5;5;2;2;15;3;19;1;0;0
"Clichy-sous-Bois";93014;29127;30725;28992;26062.622573529;17953.9939455565;1232.41512019129;29987.2971386823;27219.9512694793;815.636766382358;306.615961597428;28445.397138174;26973.1778125745;435.675290209283;397.814595640953;91;95;3;2;1;1;5;-6;0;4;-33;0
"Coubron";93015;4675.99999999999;4713;4866;4375.12495619032;3086.82225104398;262.990347316505;4666.80788929815;4238.25536582236;171.779978361938;76.6592475477564;4790.51912070488;4266.58309869426;276.409152307647;115.586635486726;91;89;4;6;2;2;1;3;4;-2;50;0
"La Courneuve";93027;36915;40678;43946;33681.3297430863;22392.3397564906;2303.96334904108;39922.016914446;35206.8404690118;1020.69335393985;969.989500999685;43169.4832606706;39207.7429457732;971.068794025606;732.930330223446;88;91;3;2;2;2;10;8;19;3;-33;0
"Drancy";93029;66194;68241;72109;61182.5890733331;43055.6716427356;3223.1462331872;66940.8008936371;61199.2434038267;1805.00774088443;813.005524149959;70818.8350466569;64942.1585573419;1892.30185132636;894.766445645536;91;92;3;3;1;1;3;6;9;1;0;0
"Dugny";93030;10483;10216;10757;9490.31424139699;6274.55529645689;687.782651430266;9993.13194490891;9034.00602822444;251.5751517897;117.110815546572;10570.3967654629;9839.34598698926;244.834211313751;143.882480019738;90;93;3;2;1;1;-3;5;3;3;-33;0
"Épinay-sur-Seine";93031;52689.0000000001;54857;54771;47866.3819427025;33287.1414555748;5244.28522736145;53802.6978612391;50180.5400364922;538.086065354328;1112.96000519649;53736.8337325508;50382.2707890684;639.053769075737;1189.75726377561;93;94;1;1;2;2;4;0;4;1;0;0
"Gagny";93032;38342;39276;39618;35461.2103111561;24964.5778850577;2406.17039720404;38658.7512034883;35354.3303507235;1285.94208915178;564.295318341389;38978.2407518614;35993.8124838357;1150.1511285843;575.987428775936;91;92;3;3;1;1;2;1;3;1;0;0
"Gournay-sur-Marne";93033;6229;6663;6878;5896;4048;740;6578;5921;195;270;6818;6264;108;218;90;92;3;2;4;3;7;3;10;2;-33;-25
"L'Île-Saint-Denis";93039;7071;6982.00000000001;8012.00000000003;6420.84014047007;4504.25407696516;521.197448658884;6862.0711968676;6309.53610761431;151.384978914904;112.870133435157;7886.17063186938;7231.56642100458;180.564380186802;181.61018768528;92;92;2;2;2;2;-1;15;13;0;0;0
"Les Lilas";93045;22157;22819;23402;20489.9467836286;13027.7270414255;3070.492283281;22472.7194144875;20475.3643936892;389.308873212494;948.267410557925;23072.4429666243;21031.6359146539;439.241157062561;944.953283379719;91;91;2;2;4;4;3;3;6;0;0;0
"Livry-Gargan";93046;41808;43099;45012;38839.1247404934;25246.690829758;1959.27417284006;42400.4841541641;38003.3689108151;1864.8649573601;646.892684448058;44284.215585062;40354.09975627;1625.17425439872;587.520367663393;90;91;4;4;2;1;3;4;8;1;0;-50
"Montfermeil";93047;24457;25945;27201;22668.6689383125;16715.4283524369;1128.69230249484;25477.5336622829;23404.8626288214;639.395328781408;444.252190683112;26819.6688510218;24901.1514440992;653.784637099816;348.3163961796;92;93;3;2;2;1;6;5;11;1;-33;-50
"Montreuil";93048;102176;104139;109914;94499.4678357537;62666.8840508698;11830.8975635958;102387.843806577;92317.1179942263;1269.1973848471;4109.74127086125;108191.33173672;97151.3221879131;1446.5073094058;4077.83416902586;90;90;1;1;4;4;2;6;8;0;0;0
"Neuilly-Plaisance";93049;20304;20840;20915;18999.7584326774;12966.2291031313;2231.46167579919;20477.839768947;18410.3887490999;401.355133832361;838.55953210376;20655.7702778687;18533.0853423872;395.180638803438;803.140020403513;90;90;2;2;4;4;3;0;3;0;0;0
"Neuilly-sur-Marne";93050;33198;34756;35680;30689.2741560348;20045.1645040961;3262.75939825497;34189.9649535287;30861.0631176347;768.692219544864;1140.87289648431;35092.8825861733;32183.7861908754;772.324503515003;807.122435973981;90;92;2;2;3;2;5;3;7;2;0;-33
"Noisy-le-Grand";93051;63106;62834;68126;58165.6257977199;36805.4587239368;8053.41289432548;61921.237976449;56109.9663372107;864.649206985986;2047.36514995591;67070.416937889;60495.0729655263;860.071811709488;2303.9326002383;91;90;1;1;3;3;0;8;8;-1;0;0
"Noisy-le-Sec";93053;38713;41125;44223;35481.1131178295;23889.8808294601;2221.34587838983;40274.2732606962;36617.8854483423;1228.78090003518;714.428983879806;43463.3867490104;39909.6675246923;1217.54379949361;854.875753155651;91;92;3;3;2;2;6;8;14;1;0;0
"Pantin";93055;52698;53471;59060;48452.238690504;31692.5800245553;6002.93949459341;52598.4057178698;47591.5040460557;796.987320019804;1694.61309353405;58027.4681158431;52670.9981136985;973.361699727964;2102.43036424289;90;91;2;2;3;4;1;10;12;1;0;33
"Les Pavillons-sous-Bois";93057;20721;22680;23960;19129.2073519272;11819.6243941163;1292.94613086989;22229.7587891575;19906.1110717447;959.708654652259;419.027789001461;23558.0705381098;21015.155054384;1085.52114019761;427.379439976529;90;89;4;5;2;2;9;6;16;-1;25;0
"Pierrefitte-sur-Seine";93059;28871;28459;30828;26485.1021399151;18979.8520975337;1774.61974288945;27902.9123326154;25829.8578284469;682.908547238187;486.739522491518;30281.9579874753;28220.2358135376;460.323596020924;538.478535678588;93;93;2;2;2;2;-1;8;7;0;0;0
"Le Pré-Saint-Gervais";93061;17588;17908;17485;16124.5142043664;10578.6392126262;2195.92107110682;17626.4978321673;16124.0150099997;320.152431559685;659.585604972912;17228.6263784077;15640.5760963507;328.368681811808;633.639912852828;91;91;2;2;4;4;2;-2;-1;0;0;0
"Le Raincy";93062;13622;14261;14708;12782.121206301;7913.80848839138;1037.25301262505;14073.1005135354;12432.5579868326;658.390862155475;354.786059651717;14514.3277522306;12798.9869070066;660.061422173408;362.784846502936;88;88;5;5;3;2;5;3;8;0;0;-33
"Romainville";93063;25621;25657;28536;23565.931615045;16977.7015348487;1677.21969785141;25226.2317595791;23231.5421010388;483.089560921964;543.644020193693;28049.7100412848;25844.1408190814;763.566126639376;553.494473074877;92;92;2;3;2;2;0;11;11;0;50;0
"Rosny-sous-Bois";93064;40843;43802;46043;37754.7274862934;24222.3331401466;3356.0072983271;43013.9246733595;38630.0491973442;1052.24931319726;1372.73227323321;45285.1365566844;41111.4849869195;1026.78501870899;1269.54288467769;90;91;2;2;3;3;7;5;13;1;0;0
"Saint-Denis";93066;103742;109343;112091;93622.8542671466;55411.1320334514;10245.1489246528;107192.61681457;95279.24506819;2391.18078888856;3071.01297767108;110171.07301201;99501.8778740951;1594.6792506047;2704.0404054868;89;90;2;1;3;2;5;3;8;1;-50;-33
"Saint-Ouen-sur-Seine";93070;45595;47534;50670;41927.4524447338;25963.965802546;5605.28476975785;46614.0617510612;41261.7803370559;625.726744911826;2193.05472693125;49770.6258134951;44132.68864333;689.260117970299;2165.90657039234;89;89;1;1;5;4;4;7;11;0;0;-20
"Sevran";93071;50770;49465;51225;46042.1844135547;32010.8184112344;2627.80326848642;48550.9942400258;44847.8563269712;1641.97323448263;582.493841183742;50358.117337334;47158.7499576992;1152.18079977047;570.45764865217;92;94;3;2;1;1;-3;4;1;2;-33;0
"Stains";93072;34608;36365;38666;31524.6056855505;22715.6544908373;1795.93953306739;35850.0776408953;33713.2534010385;433.325126576472;434.73189870939;38104.4794599108;35719.4397650274;707.570354086977;473.561662551676;94;94;1;2;1;1;5;6;12;0;100;0
"Tremblay-en-France";93073;35494;34614;36230;32956.9568386321;23716.4362464803;1702.16936956124;34156.4948210771;31829.3097888026;780.030489869854;511.588734965593;35675.5905233067;32858.4329196922;1003.57651110234;513.98017540586;93;92;2;3;1;1;-2;5;2;-1;50;0
"Vaujours";93074;6075.00000000001;6828;7003;5670.41275643813;3485.93137086599;459.22005225371;6689.58282038333;5915.07140525006;436.253785959868;138.211011770776;6865.35198242405;6147.41573590349;329.53384905165;146.260284287251;88;90;7;5;2;2;12;3;15;2;-29;0
"Villemomble";93077;28169;29165;30005;26274.9183114454;17707.2250268418;1625.62876902892;28692.3176342705;25829.0722005494;1084.0822888377;671.716131924411;29573.4325339132;26999.182474597;963.421898971288;563.498587920536;90;91;4;3;2;2;4;3;7;1;-25;0
"Villepinte";93078;35810;35329;37280;32970.4367098203;21830.6995025035;1987.69864637008;34725.3216485452;31569.0748527885;952.361681961186;463.871545347805;36674.4074991799;32961.9873962958;1112.51435263197;468.9584583961;91;90;3;3;1;1;-1;6;4;-1;0;0
"Villetaneuse";93079;12655;12451;13557;11608.5428862052;8242.52197373382;858.962481141731;12231.169636387;11362.2602465747;233.718181435504;201.245735307225;13378.1457958445;12530.137796646;273.942861935624;245.159394686451;93;94;2;2;2;2;-2;9;7;1;0;0
"Ablon-sur-Seine";94001;5158;5388;5818;4799.30491310597;3322.55853913498;414.648373186986;5295.17297297297;4742.33456614509;147.710099573257;122.409198672357;5734.38271077894;5153.02546674664;233.933819825622;151.316473314392;90;90;3;4;2;3;4;8;13;0;33;50
"Alfortville";94002;44728;44818;44287;41097.6257764193;24694.709400723;4536.42999346084;44003.1167233093;39640.592929717;919.997290038361;1295.82519743598;43565.6653064941;39279.4389338602;927.854251571528;1313.92972708215;90;90;2;2;3;3;0;-1;-1;0;0;0
"Arcueil";94003;19847;19746;21721;18545.4055511761;12027.7489885815;2058.26646955244;19444.4925402632;17612.1053263811;322.989440087728;651.816074038637;21357.7400271921;19180.5825189018;306.381012212888;752.707412320139;91;90;2;1;3;4;-1;10;9;-1;-50;33
"Boissy-Saint-Léger";94004;15680;16399;16487;14397.7998380554;9719.8033019558;1033.04483933722;16116.6797584215;14567.750265993;478.641607127016;486.659086098725;16225.2258707701;14637.4563953114;479.16777194548;443.26905257697;90;90;3;3;3;3;5;1;5;0;0;0
"Bonneuil-sur-Marne";94011;16541;16642;18045;15287.2215351159;10492.5398471432;689.336625261804;16392.1360205762;15504.0650735733;276.850170202368;183.649743705585;17820.390487425;16406.350938403;461.868829757114;180.562644888745;95;92;2;3;1;1;1;8;9;-3;50;0
"Bry-sur-Marne";94015;15316;16423;16919;14324.6315514315;9441.26309225307;1664.91194643452;16202.5967973879;14759.4334850249;358.528065665958;492.12763162708;16728.1546461631;15037.841427436;466.55263243368;558.74582052033;91;90;2;3;3;3;7;3;10;-1;50;0
"Cachan";94016;27676;29462;30884;25821.8657476762;16179.8929364597;3635.95524131865;29089.4991355482;25920.388492723;305.421794763401;1219.60292458629;30512.9502423031;27191.4619954063;431.58496056469;1099.99170937284;89;89;1;1;4;4;6;5;12;0;0;0
"Champigny-sur-Marne";94017;75142;75961;77039;69575.6676773006;47977.413053408;5354.89995505697;74797.8979645857;69045.9264308509;1338.63962473648;1414.76164144635;75932.5360642079;70608.4365389668;1503.00448788058;1343.71259509811;92;93;2;2;2;2;1;1;3;1;0;0
