"LIB_MOD";"CODGEO";"P08_ACTOCC15P";"P08_ACTOCC15P_ILT1";"P08_ACTOCC15P_ILT2";"P08_ACTOCC15P_ILT3";"P13_ACTOCC15P";"P13_ACTOCC15P_ILT1";"P13_ACTOCC15P_ILT2";"P13_ACTOCC15P_ILT3";"P18_ACTOCC15P";"P18_ACTOCC15P_ILT1";"P18_ACTOCC15P_ILT2";"P18_ACTOCC15P_ILT3";"Com_08_%";"Dept_08_%";"Reg_08_%";"Com_13_%";"Dept_13_%";"Reg_13_%";"Com_18_%";"Dept_18_%";"Reg_18_%";"Com_13_18_%";"Dept_13_18_%";"Reg_13_18_%"
"Sèvres";92072;11063.390605347;2118.00357354782;3824.14568877206;4992.88484468714;10609.7018562341;1950.25972903111;3740.41170456307;4789.05229302054;10757.905643159;1844.21106725131;3964.9808012211;4776.00499889187;19;35;45;18;35;45;17;37;44;-6;6;-2
"Suresnes";92073;22546.6047652116;4989.66111593556;8903.07766176798;8412.61423704786;23686.3397314444;5483.11860441211;9054.70606513985;8956.87411464941;24654.9790099778;5171.00850833559;9393.11892131898;9697.06755319261;22;39;37;23;38;38;21;38;39;-9;0;3
"Vanves";92075;13184.433346156;1978.37746236118;3740.55407727851;7357.92841348457;13764.5016715593;2093.02439663983;3697.12934465798;7756.37163579767;13214.0356009938;1919.53497426273;3798.87247374446;7394.55962179025;15;28;56;15;27;56;15;29;56;0;7;0
"Vaucresson";92076;3713.51550921866;675.780362063201;1306.18794594121;1666.87692223841;3762.86299894292;694.417367163484;1319.20167979844;1700.11536522314;3737.83194328094;740.997511985159;1359.13962336219;1561.84410763956;18;35;45;18;35;45;20;36;42;11;3;-7
"Ville-d'Avray";92077;4695.19492043082;848.991894755865;1617.11904304239;2172.49526886707;5022.57179386113;871.869077752372;1828.87646460741;2256.05468163533;5097.01934430528;921.262026055287;1849.6651826234;2245.77279088078;18;34;46;17;36;45;18;36;44;6;0;-2
"Villeneuve-la-Garenne";92078;10315.648624376;1995.4221247008;3045.73514106266;5190.37948528269;9762.18848218181;2377.59168075821;2839.75787767061;4464.45825776426;8890.07941705549;2020.28542228331;2498.31877275252;4299.34329318841;19;30;50;24;29;46;23;28;48;-4;-3;4
"Aubervilliers";93001;27953.8671683011;7177.79931855531;4913.19090729191;15416.3360998398;28760.2531227877;7245.27846584445;5350.59110345594;15886.9286693689;33109.5529818928;7814.67943498639;5615.44819386961;19187.3453635656;26;18;55;25;19;55;24;17;58;-4;-11;5
"Aulnay-sous-Bois";93005;32098.2800864567;8263.29596234569;7808.5537530979;15667.5488618918;30540.8525906179;7768.00180085563;7436.43255974545;14905.4417854555;32096.0882743677;8168.40853703432;8284.80377744039;15259.7460576248;26;24;49;25;24;49;25;26;48;0;8;-2
"Bagnolet";93006;13949.8316936157;2847.14384533232;2379.8668586545;8635.95493908025;15050.9652011015;3499.91360339536;2810.91866220026;8578.46456933106;15176.6274059768;3568.5338391168;2761.50235263669;8623.87346537274;20;17;62;23;19;57;24;18;57;4;-5;0
"Le Blanc-Mesnil";93007;20207.1780896213;3354.09788050792;6242.46732465095;10441.19832894;19650.9492813782;3649.88455526297;6102.0322048727;9724.17560323375;20779.6788566068;4013.52406515142;6044.85837291599;10459.651756444;17;31;52;19;31;49;19;29;50;0;-6;2
"Bobigny";93008;17799.2559647774;3702.67321202716;4845.76955401582;9070.65698489935;17900.4048986881;4004.08125774108;4348.39047302757;9311.04799744312;18403.9089741839;3705.45191796056;4920.76889744941;9538.15003093046;21;27;51;22;24;52;20;27;52;-9;12;0
"Bondy";93010;20915.0614207813;3958.90628649724;6034.11510856479;10801.8586880104;20132.8128821996;3872.57823453362;5805.81201914156;10317.2676577845;19788.6926780058;3712.92750879278;5829.38426725518;10087.4290231807;19;29;52;19;29;51;19;29;51;0;0;0
"Le Bourget";93013;5696.18168130884;856.427078264312;1657.84124055759;3109.00884785171;6746.16011524316;1421.76587603912;1744.16653558476;3529.13785581592;6505.28317012859;1117.59100848977;1738.83390824161;3554.91190505746;15;29;55;21;26;52;17;27;55;-19;4;6
"Clichy-sous-Bois";93014;9518.09964412616;1546.35090875644;3436.20024307067;4475.77532042608;9285.73486849334;1841.15003719396;3278.28801905665;4071.9204142922;8918.78908069743;1759.38095598501;3005.82928956152;4049.49266164886;16;36;47;20;35;44;20;34;45;0;-3;2
"Coubron";93015;2209.52864716504;215.84053967774;1002.48592093819;972.274850946783;2129.4556124066;251.650936933136;950.721745747662;909.392334137858;2142.60721521071;178.014415270671;958.887502048008;991.802187637333;10;45;44;12;45;43;8;45;46;-33;0;7
"La Courneuve";93027;12917.0790996361;2468.4306921463;3252.57960536629;7115.62643137837;13582.6359942443;2568.45121376735;3428.16876703823;7457.72411501134;15515.1224255832;2576.263334777;3812.54618086637;8920.84221666519;19;25;55;19;25;55;17;25;57;-11;0;4
"Drancy";93029;26288.1319106055;4852.46002152149;8785.40867349706;12449.2555250134;27053.9616373956;5048.72381933498;8663.85904441629;13131.2273605969;27641.7476193371;5491.10832616867;8227.83902152288;13664.9439021574;18;33;47;19;32;49;20;30;49;5;-6;0
"Dugny";93030;4398.57839652609;964.712295072635;1339.97083694666;2061.07116269212;4154.16451488757;1011.77805921442;1378.84879764232;1717.70540774949;4014.68208638608;885.12882497558;1224.19992866125;1874.08543489725;22;30;47;24;33;41;22;30;47;-8;-9;15
"Épinay-sur-Seine";93031;20079.4673804334;3377.87063822698;3310.75729003721;13209.5904593044;20261.6869850923;3357.70375387491;3664.23038086536;13051.4162666254;20706.3978819829;3419.1382695271;3675.94009235785;13348.2866985639;17;16;66;17;18;64;17;18;64;0;0;0
"Gagny";93032;16817.8674126753;2306.22336747863;5352.62801470168;9040.20060445981;16847.634626601;2415.08655296609;5462.90950787724;8830.95952997464;16867.8543899064;2238.61513475849;5268.0416312798;9246.76948489928;14;32;54;14;32;52;13;31;55;-7;-3;6
"Gournay-sur-Marne";93033;2948;308;748;1876;3144;376;724;2013;3196;302;757;2098;10;25;64;12;23;64;9;24;66;-25;4;3
"L'Île-Saint-Denis";93039;2764.36773209444;424.757895261761;685.64091937176;1634.34144809337;2699.37338273805;360.723395984704;653.138515301517;1667.53421630252;3011.55846584127;454.379725041685;711.949795846262;1815.41427566225;15;25;59;13;24;62;15;24;60;15;0;-3
"Les Lilas";93045;9971.86514921178;1431.86708450293;1894.11883286942;6524.99213939372;10126.8901120439;1284.49593164358;1873.67437528705;6777.48675371146;10616.2090906822;1559.86192239016;2005.33414968078;6946.78232355739;14;19;65;13;19;67;15;19;65;15;0;-3
"Livry-Gargan";93046;19011.7068028006;3034.9952942441;7686.46005728309;8096.62244704424;18703.8117772649;3364.6528217131;7379.4941426754;7817.78905945929;19120.2876384678;3242.04122808625;7420.95407210745;8291.5604658862;16;40;43;18;39;42;17;39;43;-6;0;2
"Montfermeil";93047;9131.9558983165;1830.98786371623;3242.56060860299;3997.9704935701;9687.49979031686;2043.72825551594;3387.70666724561;4125.48069928007;10186.5958590469;2091.49747414021;3404.03614362004;4577.90863785114;20;36;44;21;35;43;21;33;45;0;-6;5
"Montreuil";93048;44721.7982039104;10958.2605250146;6233.44860422581;27164.460089864;45701.8716058734;12393.9082472207;5705.68429220236;27093.4663385537;48076.7887430652;12281.1380495664;5859.3202283962;29328.4646627299;25;14;61;27;12;59;26;12;61;-4;0;3
"Neuilly-Plaisance";93049;9511.90011079558;1323.55854744371;1928.46292413546;6181.92422280812;9687.71120683507;1455.36976672809;2134.39883498272;6012.64709790372;10013.7797562261;1317.61154867746;2084.39674776847;6509.09323592144;14;20;65;15;22;62;13;21;65;-13;-5;5
"Neuilly-sur-Marne";93050;15257.9110157499;2753.57764293624;3287.31924219262;9082.96673409694;15666.5814561483;3001.57986396809;3293.85361142952;9229.2464977195;15481.0695705936;2660.10407280587;3541.32078036994;9157.37309013778;18;22;60;19;21;59;17;23;59;-11;10;0
"Noisy-le-Grand";93051;30011.1681684201;5496.78465602543;3508.25856082006;20772.7370446889;28873.6526016993;6193.55522874158;3540.42258344322;18869.7471208805;30334.3011199281;6186.86341158116;3630.42264218444;20159.4759868905;18;12;69;21;12;65;20;12;66;-5;0;2
"Noisy-le-Sec";93053;16145.2626208821;2740.97143272551;4676.20153218681;8635.4954430728;15828.9245859605;2586.69666819281;4607.14512939562;8467.36001079893;17127.2170624174;2746.76899199404;5203.89104066781;9052.30500646594;17;29;53;16;29;53;16;30;53;0;3;0
"Pantin";93055;22224.8100553929;4737.05182163825;3895.7587970677;13378.7224190248;22665.671387428;4908.09383931338;4083.39611730031;13357.8528099608;25699.8394494937;4721.86191547778;4560.20182632151;16014.8275457374;21;18;60;22;18;59;18;18;62;-18;0;5
"Les Pavillons-sous-Bois";93057;9359.00678173908;1363.41281194568;3515.33846174463;4392.24185869786;10104.7838308681;1522.48381989453;3732.46737925921;4766.07161606285;10518.1302014692;1592.93893182702;3998.98626809901;4864.79162056134;15;38;47;15;37;47;15;38;46;0;3;-2
